incident_id,hour_float,latitude,longitude,victim_age,temp_c,humidity,dist_precinct_km,pop_density,weapon_code,scene_type,weather,vic_gender,split,killer_id
0,1.3604739826417642,38.05176043486196,23.534369783340754,33.29629399204178,9.633418820201241,61.98744512596764,0.09542779905082602,0.830454561407584,2,3,4,0,TEST,5
1,11.72801695346581,37.73841385619491,23.594859996798064,77.24756228904764,27.595793367865298,10.0,2.6701413914971757,4.459966830910776,0,1,0,0,TEST,7
2,5.280709435320122,37.983874718717274,23.51650070021452,90.0,5.390502755667953,62.948884724207204,0.03952478267141504,0.964471304823956,3,2,0,0,VAL,3
3,7.6301663203324255,37.669005361830315,23.57249319587508,90.0,15.202263940263496,10.0,1.7818378088307756,1.8408387325643676,5,1,3,1,VAL,7
4,2.0191989129441374,38.00090389840541,23.567075612663153,75.27155334972926,7.402564115625216,80.40795376344826,0.02604538218667111,1.1214386641652518,1,1,4,1,VAL,5
5,8.76385529615268,38.05006685524756,23.606152705523776,71.88243413792091,8.89425704426993,68.69069918174222,0.030477313499380477,3.1037575372969557,2,0,3,0,VAL,3
6,8.899041398037715,37.947922979220166,23.594112391891116,63.30638375449821,11.219170286360166,41.36541342109505,0.3900030069483143,3.2107601328874007,2,2,0,0,TEST,3
7,17.459063438896337,37.76515680514128,23.67432131402007,90.0,13.80693436769235,11.024417319009686,0.5648271040718706,5.568696468658277,4,3,1,0,TEST,7
8,15.054931126624584,38.162280094081986,23.668706582101535,15.0,27.57674133213046,95.07721916743037,0.5989354769442403,7.245663872382317,2,2,0,1,VAL,6
9,3.0660323278892783,37.92790820807822,23.547051511088455,83.17316884768486,13.14771388380181,43.53542674145828,0.07994828797977072,1.2840464295697853,1,2,3,0,TRAIN,3
10,16.309547865359544,38.137303564712774,23.722203012352626,15.0,20.362650490121542,100.0,1.1039641822049497,7.237361018857963,0,2,0,1,TRAIN,6
11,15.539329018871111,38.001310169793896,23.655228044911023,42.55161007875476,19.98692208030817,69.5005178712143,0.7196224204276956,5.660382612868023,3,2,0,1,VAL,3
12,12.870562492969931,37.823237077559746,23.60800087888904,15.0,37.393363142209765,21.667573371074997,7.446040115663924,7.057365885427411,0,2,4,1,TRAIN,2
13,10.08401099808757,37.927781394908294,23.61176207605598,75.39585701239717,16.43812876259458,38.772717670136096,0.3783143097610153,3.3233523928528506,3,2,0,1,VAL,3
14,8.548112372919952,37.92959075538004,23.619910689184255,90.0,8.938530314226652,36.40354786365643,0.11040130852350633,2.728818572488596,3,2,3,0,TRAIN,3
15,15.545682164052392,37.9372588512998,23.62434613524409,67.75178868237545,12.829066271476407,38.725791906779676,0.24147384683609963,3.522794025112567,1,2,0,0,TRAIN,3
