incident_id,predicted_killer,p_killer_1,p_killer_2,p_killer_3,p_killer_4,p_killer_5,p_killer_6,p_killer_7,p_killer_8
0,5,0.003244608135514034,0.007089988248912154,0.06044337068583408,0.0006900181877678261,0.7646771977504188,2.264314307323098e-06,0.0013212552044439992,0.16253129747280182
1,7,3.8470739713401066e-07,2.592075642659881e-06,1.0077883821663652e-06,4.5381144488117145e-07,0.00010025786010255003,1.1720468662823093e-09,0.9998930884095882,2.2141753956511148e-06
2,3,1.1673225399926583e-05,5.502414986520203e-06,0.9986198253630623,1.1865124962731482e-06,0.0011225437046748102,3.4050243364140243e-08,8.190630044873921e-06,0.00023104409909189446
3,7,1.7940423139621033e-05,7.052414710868278e-05,0.0018490358506671437,0.0001639088158151545,0.03948467573159167,8.241001754853513e-09,0.9563540002756337,0.002059906515042154
4,5,0.0005395389125069409,0.0009840919601250071,0.04734445548929517,0.0008094961928747836,0.8385745798330194,2.2618814581423936e-06,0.000434051761172011,0.11131152396954858
5,3,0.00010636008074848746,5.585274400697874e-06,0.9992516607246434,1.0189482182225353e-05,0.0005077666334374431,2.180596701355946e-06,7.78976015949866e-06,0.00010846744772692307
6,3,0.0001153209813468334,9.702643251017306e-05,0.9934879614775907,3.083267798134199e-05,0.004818069871663126,2.6399473070358804e-06,0.00011724959722359991,0.0013308990143772086
7,4,6.92864969420659e-05,2.440685561480502e-05,6.48752967756003e-05,0.6465223547114041,0.001036940299765443,3.4006548390135574e-07,0.35214860481781496,0.00013319145619904144
8,6,0.0003729652326625946,0.00022041966566183803,0.00014935631155652644,4.1279652577669876e-07,3.924954160671475e-06,0.9992501067027534,2.7760835013915716e-06,3.8253177813688826e-08
9,3,7.0303037333163e-06,4.499630388473265e-06,0.9831049973519127,1.5377466176466168e-06,0.01647748538726378,3.175857397209764e-08,6.281699737581202e-06,0.0003981361217725821
10,6,0.0005947015085255151,2.5612367125553768e-05,3.4410463522644466e-05,8.78076217959084e-07,2.218367555074035e-06,0.9993388991114931,3.268986189934508e-06,1.1119370309262051e-08
11,3,0.006590018815097975,0.0015266645033424847,0.9820434915381279,0.00013294488506346988,0.0007657488854424558,0.007939147102819453,0.0008621094762844853,0.00013987479382164973
12,2,1.5728159948755462e-05,0.9917272948983109,1.2662456402769819e-08,1.3604954272835573e-07,4.189086915212898e-06,3.938418248741883e-08,0.008252564029299326,3.572934448474691e-08
13,3,8.31220227235404e-05,2.5528648349305874e-05,0.9994096359697323,9.064860684853366e-06,0.00028120399824056264,8.554548153419052e-07,5.760243699858335e-05,0.00013298660845554753
14,3,9.936708281450582e-07,1.7871437103489584e-07,0.9999313827276252,6.86524209688775e-08,6.441365404340744e-05,6.630092142673922e-09,3.288450224885768e-07,2.6271055966138733e-06
15,3,0.00037821336157293524,0.0002194314049425096,0.9839427256741183,0.00015013632762437418,0.012911041171884432,1.2097980171398738e-05,0.0003339979992822622,0.002052356080403742
16,3,0.00019207609744566168,0.00045198299668664356,0.8730703410811678,0.00012248395271201247,0.1021705487182129,4.11221668476337e-06,0.0008455830254521789,0.02314287191163809
17,6,0.00047276033269366273,1.9783568450462747e-05,0.00038658396542688576,4.28451685433957e-06,2.105892973818647e-05,0.9990926197677197,2.8452071189079067e-06,6.371199783200538e-08
18,3,7.51649254066118e-05,1.0285751001515274e-05,0.9997118656757433,1.5765212902253557e-06,0.00017074191648463623,3.1120366199148637e-06,8.50189338783186e-06,1.875128006618997e-05
19,3,0.004494444018270205,0.00043353462661711606,0.9915237649180527,0.00016715727430889293,0.0016744222183711624,5.9988740689297537e-05,0.0006102082870071315,0.001036479916683618
20,3,4.118438974242306e-05,1.1114215122783743e-05,0.9978833287231058,2.7935768607215304e-05,0.0018320359054059343,2.912673960299844e-06,2.0223264613231198e-05,0.00018126505944221423
21,4,6.583657075521357e-05,2.8233751882594976e-06,3.9227032986593955e-05,0.9965365888521008,5.8129000271154246e-05,1.6089192899249332e-07,0.003279271641305366,1.7962635463530106e-05
22,7,0.001876996823550302,0.000500385254465789,0.36935523628840916,0.0007690807987981731,0.0012839902036065206,4.5365292443387045e-07,0.625537904164839,0.000675952813406714
23,3,0.003498375248399462,6.581979846180968e-05,0.8772377313246547,0.06407092359149545,0.003841746927296394,0.04658172851470426,0.004698733761665241,4.9408333228594764e-06
24,7,7.487964872413808e-06,9.945415755228486e-05,4.256926212896203e-05,4.8603370205570655e-05,1.644763108515806e-05,6.263498388438913e-08,0.9997822398839721,3.135095199610868e-06
25,6,0.00038864054357767494,0.0001921870651042087,1.861414383085853e-05,2.1973048987288888e-08,5.634953339064272e-07,0.9993997009262714,2.678415191364384e-07,4.011313875011072e-09
26,7,0.004377674625938609,0.0008536550985944925,0.00021174624151331704,0.000442514095045543,0.0006287692129410432,1.0387599536118698e-05,0.9934387756836139,3.6477442816814965e-05
27,7,2.1449704342743153e-06,1.3373592229980609e-05,4.440844093635046e-05,7.4371040025737185e-06,7.132806571789036e-05,2.368222160187384e-09,0.9998533089417738,7.996516682838212e-06
28,3,4.861230443598061e-05,2.2259264406367357e-05,0.9991939835914719,1.8836531742620046e-05,0.0004275245617946444,5.025836249231712e-07,3.5366433873936534e-05,0.00025291472864976707
29,7,7.15570900274863e-05,3.1712787950812966e-05,1.6353780296865357e-05,0.0024851919325006135,0.0016614783406263109,9.085228631010225e-08,0.9954689647490208,0.0002646504672908761
30,3,0.00027566949692822576,0.0001505620625161969,0.9838658083805629,2.5461480377073124e-05,0.01428666985072467,4.3419696024141345e-06,6.210995466381276e-05,0.001329376804624685
31,3,1.981639673739236e-05,7.437592596897363e-06,0.9968437706704535,5.143003004039897e-06,0.0030085576040301772,4.951198218649002e-07,6.036138783004124e-06,0.00010874347457331634
32,3,0.013398303033926012,8.846155754428611e-05,0.9847218795183198,3.829530914643482e-05,0.0012421277382798157,0.0001373360009991595,0.00022584899067131406,0.0001477478511133229
33,5,0.0006056866317781677,0.0031931739917068357,0.2796060981520362,0.0004677235248837356,0.5412146919734647,6.775631584390371e-06,0.009156522685874054,0.165749327408672
34,3,0.00032771842963961323,0.0001619339586354294,0.9943045001637878,0.001866995055773749,0.0015963945282765634,4.0306234631417434e-05,0.0008620036219265345,0.0008401480073288832
35,7,3.9170324948254305e-06,1.0787936835734398e-06,6.88839663946438e-07,0.0009194820285544322,1.869327453890474e-06,3.4795242336196353e-09,0.9990728300612074,1.3043741763215974e-07
36,3,0.000322150766414368,0.0003476503233448557,0.922215298759827,0.0002843931002823305,0.05736985923935142,4.957823333546648e-06,0.0004968584616868068,0.018958831525759768
37,3,5.283926699071442e-05,1.0240938047591184e-05,0.9996498600775612,4.059049841425723e-06,0.00021883770815813404,8.971842999726625e-07,2.6586756357432803e-05,3.6679018743594715e-05
38,3,0.00033734379664122373,1.914529544782277e-05,0.9987419284249097,0.00021969433848819362,0.0003891578051844643,2.2242909777748513e-05,0.00016049777483830518,0.0001099896547126727
39,3,0.003918817507248129,0.00031698687158113653,0.8743189050092468,0.0010105941573447495,0.10958830647330835,2.9713476197480887e-05,0.004568580150425858,0.006248096354647544
40,1,0.8226405715407534,0.1576671261197965,7.710493963900702e-05,1.5314963885198623e-05,0.009435102286074595,0.009019088539453522,0.0010993342407369412,4.635736966077705e-05
41,4,0.000676727285353711,5.669550811904169e-05,0.00010562017620537875,0.7993705831180377,0.0005713543125277912,6.357652090032024e-07,0.1987817880215402,0.0004365958130072988
42,3,0.00019622474948266356,1.1151126058432617e-05,0.9994199911407518,1.7481606647218964e-05,0.000204514810022458,6.308973451751433e-06,0.0001261692694545254,1.8158324131233824e-05
43,2,8.601758401653819e-05,0.9998807158945191,7.067817368664207e-07,1.305428684210599e-07,1.514890544157896e-05,6.37139251477101e-07,1.3810318454800055e-05,2.8328337111958584e-06
44,4,0.0010447139468394639,2.66397881912506e-05,0.00019180388067403394,0.9955885833824543,0.00041771746199484306,1.5667658367208194e-05,0.002619980780764727,9.489310071411771e-05
45,3,6.234908099006309e-06,1.848717969119707e-06,0.9986229123444024,1.3642457354789651e-06,0.0013160491706417777,4.11426089118103e-08,8.210705504525855e-06,4.333876503857625e-05
46,3,0.00013176180493728977,5.25396100779081e-06,0.997960181943083,3.3580499554764348e-06,0.001581770451297409,4.8798281747149106e-08,3.845666092434951e-05,0.00027916833051297094
47,3,9.083512861089893e-05,2.5009831225705692e-05,0.9987605180777759,1.5892949295886083e-05,0.0007077447783946437,1.2372994818527133e-06,2.9872945195506547e-05,0.00036888899001961294
48,3,0.002840542968567666,1.962401305406119e-05,0.9963910918630741,2.2305929719117164e-05,0.0005597168514602622,3.317392704296956e-05,6.901136339401619e-05,6.453308368760046e-05
49,3,4.106876813530336e-05,1.0117060613523473e-05,0.9993280925684547,6.429085097512324e-06,0.0005490449472847377,4.538554723337948e-06,1.0229760371124659e-05,5.047925531958388e-05
50,3,0.00015327843265917947,3.9380163176990006e-05,0.9983273004342309,2.1055084697049176e-05,0.0010975269097536007,1.1013906311714829e-05,4.1882139646047794e-05,0.00030856292952437253
